@@,area,Family,Species,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
->,saanich,Potamogetonaceae,Potamogeton gramineus,Potamogeton gramineus,"Native to Europe and North America; in standing water; rare; collected at Pike Lake, Highland district, by M. C. Melburn in 1964. Melburne voucher not located. In Thetis Lake Park list. Osmond-Jones Teanook Lake 1976.",,->1971-08-03,->A. Ceska,->RBCM,->V190600,"->Goldstream River; Butchart Lake: Goldstream River Watershed; Niagara Road, N of Lake TL","""Potamogeton gramineus - Note says native to Europe, which is true, but it is also a native to N.A. including BC"" FL",FL,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton natans,Potamogeton natans,Shallow standing waters and lakes throughout.,,->1974-10-18,->T. Morrison,->RBCM,->V190306,->Thetis Lake: lower part of lake,->TL,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton obtusifolius,Potamogeton obtusifolius,Durrance Lake and Second Lake in Highlands. Harcombe and Warrington collections at V,,->1979-06-19,->R. Harcombe,->RBCM,->V171736,->Second Lake; Saanich,->TL,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton praelongus,Potamogeton praelongus,"Deep water of lakes; known only from Beaver Lake where it was collected by J.M. Macoun in 1908 and 1913. Since collected from Thetis and Langford Lakes TCB. AC Elk Lake 1971, Heal Lake 1991. Fletcher Florence Lae 2019.",,->1971-09-29,->A. Ceska,->RBCM,->V190565,->Elk Lake,->TL,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton pusillus,Potamogeton pusillus,"Lakes and ponds; Beaver, Elk, and the lakes in the Highland district; locally common. P. pusillus var. tenuissimus now considered P. berchtoldii.",,->1988-08-14,->T.C. Brayshaw,->RBCM,->V149596,->Thetis Lake: Victoria,->TL,,remaining,remaining
,saanich,Potamogetonaceae,Potamogeton richardsonii,Potamogeton richardsonii,Elk Lake TCB,,,,,,,,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton robbinsii,Potamogeton robbinsii,"Lakes and slow streams; Beaver, Elk, and Pike Lakes.",,->2022-07-26,->Finn McGhee,->iNaturalist,->149600257,->Victoria,->TL,,remaining,remaining
->,saanich,Potamogetonaceae,Potamogeton zosteriformis,Potamogeton zosteriformis,"Lakes and slow streams; Beaver, Elk, and Langford Lakes; sporadic.",,->1988-08-13,->T.C. Brayshaw,->RBCM,->V149595,->Elk Lake: Saanich,->TL,,remaining,remaining
->,saanich,Potamogetonaceae,Stuckenia pectinata,Stuckenia pectinata,Saanich (location of voucher?). A&O Ceska collection Goldstream River outside Saanich Flora range?,,,,,,,->Note: No records found in the Saanich Peninsula. TL,,remaining,remaining
->,saanich,Primulaceae,Cyclamen hederifolium,Cyclamen hederifolium,"HLR Thetis lake 2008, FL Camrose Park 2014, FL W Saanich Road 2012. Several iNaturalist observations for peninsula.",,->1987-10-23,->T.C. Brayshaw,->RBCM,->V139370,->Witty's Lagoon Park: Metchosin,->Note: This occurrence appears as synonym C. neapolitanum. TL,,remaining,remaining
->,saanich,Primulaceae,Dodecatheon hendersonii,Primula hendersonii,Open woods and grassy slopes; common throughout.,,->1895-04-11,->A.J. Perreo,->UBC,->V035018,"->Victoria, Oak Bay",->Note: E-Flora B.C. and others are still using genus Dodecatheon (synonym) while others are using Primula. TL,,remaining,remaining
->,saanich,Primulaceae,Dodecatheon pulchellum var. macrocarpum,Primula pauciflora macrocarpa,"Wet, grassy places and swampy ground; sporadically abundant. Variable species subdivided into many taxa; for the time being we consider the Saanich Peninsula material as belonging to D. paucilorum without going into segments of this complex.",,->1961-05-04,->J.A. Calder,->WTU,->215784,"->Mount Tolmie Park, Victoria","->Note: WTU = University of Washinton, Seattle. TL",,remaining,remaining
->,saanich,Primulaceae,Lysimachia arvensis,Lysimachia arvensis,Native of Europe; cultivated fields; common throughout.,,->1986-07-15,->A.&O. Ceska,->RBCM,->V150185,"->Rocky Point, Dept. of National Defence area.",->TL,,remaining,remaining
->,saanich,Primulaceae,Lysimachia europaea,Lysimachia europaea,Bogs and swamps along the Coast; known from Rithet's Bog and Beaver Lake.,,->1962-05-30,->J. Hett,->BABY,->BABY-00106,->Happy Valley near Victoria,"->Note: BABY = B.A. Bennett Herbarium (BABY) Yukon Government. TL ",,remaining,remaining
->,saanich,Primulaceae,Lysimachia latifolia,Lysimachia latifolia,Wooded and open areas; common throughout.,,->1973-05-06,->S. Ewan,->UofAM,->134699,"->Horth Hill, Sidney",->Note: UofAM = University of Alberta Museums. TL,,remaining,remaining
->,saanich,Primulaceae,Lysimachia maritima,Lysimachia maritima,Salt marshes and sandy beaches along the Coast; sporadic throughout.,,->1961-05-30,->J.A. Calder,->MSU,->MW0578503,->Head of Mill Bay at mouth of Shawnigan Creek,"->Note: MSU = Herbarium - Moscow State University. TL ",,remaining,remaining
->,saanich,Primulaceae,Lysimachia minima,Lysimachia minima,"Native of Europe; moist ground, around pools; Ten Mile Point and Sidney. A&OC several collections 1981.",,->1976-07-11,->A.&O. Ceska,->RBCM,->V177289,->Chatham Islands,->TL,,remaining,remaining
->,saanich,Primulaceae,Lysimachia nummularia,Lysimachia nummularia,Native of Europe; wet places along roadsides; rare; known from Victoria where it was collected by M. C. Melburn in 1967.,,->1967,->M.C. Melburn,->FSP,->p. 79,->Victoria,->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
->,saanich,Primulaceae,Lysimachia thyrsiflora,Lysimachia thyrsiflora,"Swampy ground; Beaver, Elk, Prior, and Thetis Lakes; occasional.",,->1913-06-08,->W. Taylor,->UBC,->V139747,->Goldstream,->TL,,remaining,remaining
->,saanich,Primulaceae,Lysimachia vulgaris,Lysimachia vulgaris,Native of Europe; escapee from cultivation and sparingly introduced throughout. MCM Swan Lake neighborhood 1955. Cruickshank Swan Lake 2020.,,->1955-08-08,->M.C. Melburn,->RBCM,->V100528,->Victoria; Swan Lake,->TL,,remaining,remaining
->,saanich,Pteridaceae,Adiantum aleuticum,Adiantum aleuticum,"Shady places in damp soil, rich in humus; occasional in suitable habitat; represented by var. aleuticum Rupr.",,->1910-08-05,->J.R. Anderson,->WS,->WS45585,->Goldstream,"->Note: Washington University at Pullman, Marion Owenby Herbarium WS45585 J.R. Anderson Goldstream 1910. (TL)",AS,complete,remaining
->,saanich,Pteridaceae,Aspidotis densa,Aspidotis densa,"Exposed talus slopes and crevices; restricted to Esquimalt, Langford, Goldstream, and Mount Finlayson; fairly abundant in these areas.",,->1898-05-29,->J.R. Anderson,->UBC,->V048549,->Mount Finlayson,->Note: While records show the year as 1998 (BBM) it should likely be 1898 as J.R. Anderson was killed by an automobile and died in 1930. See Brownstein thesis. UBC TL,,remaining,remaining
->,saanich,Pteridaceae,Cryptogramma acrostichoides,Cryptogramma acrostichoides,"Talus slopes, ledges, and crevices; Goldstream and Langford areas. No vouchers found at V. Beamish Teanook Lake 1961. A&OC Braemar Peak, Langford 1976",,->1967-06-01,->A.S. Harrison,->CMN,->CAN 10132697,"->Mill Hill, Langford","->Note: CMN = Canadian Museum of Nature, Ottawa. TL",,remaining,remaining
->,saanich,Pteridaceae,Myriopteris gracillima,Myriopteris gracillima,"Exposed crevices and ledges of igneous rocks; very rare and decreasing in its occurrence; restricted to Mount Finlayson, where it was collected by J. R. Anderson in 1897 and 1929. Collected several time from Mt. Finlayson since. H.J obs Mt. Finlayson April 16, 1983. GD Mt Finlayson 1992. HLR Mt Work 1996. Miskellys Gowland Todd Park iNaturalist observations 2013.",,->1961-05-23,->J.A. Calder,->MSU,->MW0570304,"->Mt. Finlayson, a few miles north of Victoria","->Note: Alternately FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972. 1897 and 1929 p. 23 J.R. Anderson, restricted to Mt. Finlayson. TL",,remaining,remaining
->,saanich,Pteridaceae,Pentagramma triangularis,Pentagramma triangularis,"Rocky ledges and crevices; collected at Cedar Hill in 1915 and Fairfield in 1934; presently known from Mount Douglas, Thetis Lake Park, Langford, and Goldstream areas; most abundant in Langford and Goldstream; known in British Columbia only from the dry southeastern part of Vancouver Island.->Rocky ledges and crevices; collected at Cedar Hill in 1915 and Fairfield in 1934; presently known from Mount Douglas, Thetis Lake Park, Langford, and Goldstream areas; most abundant in Langford and Goldstream; known in British Columbia only from the dry southeastern part of Vancouver Island. NOT TRUE (TL)",,->1875-05-10,->J.M. Macoun,->CMN,->CAN 10133005,->Near Victoria,"->Note: CMN = Canadian Museum of Nature, Ottawa. TL",,remaining,remaining
->,saanich,Ranunculaceae,Aconitum columbianum,Aconitum columbianum,Reported by M. C. Melburn from Victoria in 1953; out of its range and most likely planted. No coast records.,,->1953,->M.C. Melburn,->FSP,->p. 55,->Victoria,"->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL ",TL,remaining,remaining
->,saanich,Ranunculaceae,Actaea rubra,Actaea rubra,Moist woods and streambanks; sporadic in the Saanich and Highland wooded areas.,,->1894-07-21,->J.R. Anderson,->RBCM,->V001841,->Victoria,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Anemone lyallii,Anemonoides grayi,"Woods, thickets, and open parkland; abundant in the past; becoming rare; Beacon Hill, Saanich, and Goldstream. Davidson Esquimalt 1912.",,->1901-05-11,->J.R. Anderson,->RBCM,->V031261,->Victoria; Esquimalt,->TL,TL,remaining,remaining
->,saanich,Ranunculaceae,Aquilegia formosa,Aquilegia formosa,Open woods and thickets; widely distributed throughout.,,->1890-05-01,->C.F. Newcombe,->RBCM,->V052721,->Victoria; Oak Bay,->TL,AS,complete,remaining
->,saanich,Ranunculaceae,Caltha palustris,Caltha palustris,"Wet places; known from Blenkinsop Road, where it was collected by M. C. Melburn in 1958 and 1959. iNaturalist observations throughout - several appear to be naturalized.",,->1958,->M.C. Melburn,->FSP,->p. 56,->Blenkinsop Road,->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972. (C. palustris ssp. asarifolia Hult.)  TL,,remaining,remaining
->,saanich,Ranunculaceae,Clematis vitalba,Clematis vitalba,Many iNaturalist observations for area. No herbarium records found.,,->1927-07-19,->W. Redfern,->RBCM,->V008240,->Victoria: Douglas Street,->TL,->TL,remaining,remaining
->,saanich,Ranunculaceae,Delphinium ajacis,Consolida ajacis,Marr Langford Highway 2007,,->1968-07-23,->B. Crawford,->RBCM,->V096643,->Victoria: Government House,->Note: Synonym Consolida ajacis TL,,remaining,remaining
->,saanich,Ranunculaceae,Delphinium menziesii,Delphinium menziesii,"Coastal bluffs, grassy meadows, and wooded dry places; common throughout in suitable habitats.",,->1887-06-16,->J.M. Macoun,->NMNH,->US 219854,"->Cedar Hill, Victoria","->Note: NMNH = National Museum of Natural History, Smithsonian Institution. TL",,remaining,remaining
->,saanich,Ranunculaceae,Ficaria verna,Ficaria verna,Escaping cultivation throughout Victoria and Oak Bay. Many iNaturalist reports.,,->2000-05-25,->R. Hebda,->RBCM,->V178958,->corner of Glendening Drive and Mount Douglas Cross Road,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Halerpestes cymbalaria,Halerpestes cymbalaria,"Wet saline or alkaline soils; occasional; North Saanich, Sidney, and Goldstream.",,->1914-06-12,->J.M. Macoun,->RBCM,->V001940,->vicinity of Sidney,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Myosurus minimus,Myosurus minimus,"Moist ground; sporadic; Oak Bay, Saanich, and Sidney.",,->1973-04-22,->A.&O. Ceska,->RBCM,->V177072,->Victoria; Oak Bay; Uplands Park: boat ramp,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Nigella damascena,Nigella damascena,Native of Europe; escapee from cultivation; sporadic. Marr Hartland landfill 2007.,,->2007-06-18,->K. Marr,->RBCM,->V197310,->Victoria: Hartland Landfill: N side Active Face at maintenance site.,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus × heimburgerae,Ranunculus × heimburgerae,"TCB and M. Heimberger many collections Oak Bay shoreline, Trial Island, Chatham Islands.",not in FPNW2,,,,,,"->Note: ""... not formally considered part of the BC flora."" Delete. TL",,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus acris,Ranunculus acris,Native of Europe; widely established on moist soil throughout.,,->1919-05-24,->C.F. Newcombe,->RBCM,->V050047B,->Eberts near Victoria. (old station near Victoria) TL,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus alismifolius var. alismifolius,Ranunculus alismifolius alismifolius,"Swampy ground and margins of ponds; sporadic in Uplands, Oak Bay, and Cadboro Bay; decreasing; Carter Uplands 1914.",,->1896-06-14,->J.R. Anderson,->RBCM,->V002020,->Victoria; Oak Bay,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus aquatilis,Ranunculus aquatilis,Ponds and sluggish streams; occasional throughout; vars. present aquatilis and diffusus With.,,->1890-01-01,->C.F. Newcombe,->RBCM,->V049957,->Victoria; Esquimalt: Langford Lake; NE Mount Wells.,->Note: Ranunculus aquatilis var. aquatilis = Ranunculus aquatilis. TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus bulbosus,Ranunculus bulbosus,"Collected May 1, 1995 in the Deep Cove area, north of Victoria (Birch Road, west of Saanich Road - Lomer 95-003, and across from Deep Cove Store on West Saanich Road - Lomer 95-006). According to Vascular plants of British Columbia this species was last collected in B.C. in 1890.",,->1995-05-01,->F. Lomer,->RBCM,->V177204,->North Saanich: West Saanich Road,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus californicus,Ranunculus californicus,"Trial Island and Chatham Islands. Short, grassy ground; some with Festuca sp. and Camassia leichtlinii. 1977 Grass forb meadow at south end of island 1974 Grassy swale among rocky outcrops",,->1951-04-02,->G.A. Hardy,->RBCM,->V022679,"->Trial Islands, near Victoria.",->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus flammula,Ranunculus flammula,Wet ground to partly submerged; common throughout in suitable habitats.,,->1890-05-01,->C.F. Newcombe,->RBCM,->V050024,"->Victoria, Oak Bay","->Note: Ranunculus flammula L. ssp. reptans (L.) Syme in Sowerby var. ovalis (Bigel.) Benson (See RBCM, V050024.) TL",,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus gmelinii,Ranunculus gmelinii,TCB Uplands Park 1991.,,->1991-05-26,->T.C. Brayshaw,->RBCM,->V162418,"->Victoria; Oak Bay, Uplands Park",->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus lobbii,Ranunculus lobbii,"Aquatic annual; rare; known from Colwood, where it was collected by C. F. Newcombe in 1919 and Lost Lake, where it was collected by W. A. Newcombe in 1929;. Langford, Oak Bay, Blenkinsop Lake, Mt Douglas X-road. GD notes 1948 collection in RNVPoBC.",,->1890-04-01,->C.F. Newcombe,->RBCM,->V050042,->Victoria; Oak Bay,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus macounii,Ranunculus macounii,Wet places; sporadic in Beaver Lake area and Sidney.,,->1901-06-12,->J.R. Anderson,->RBCM,->V031182,->Victoria,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus occidentalis var. occidentalis,Ranunculus occidentalis occidentalis,Moist to well-drained dry soil; common throughout.,,->1891-05-01,->C.F. Newcombe,->RBCM,->V050048,->Victoria; Cadboro Bay,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus orthorhynchus,Ranunculus orthorhynchus,Moist fields and streams; common throughout.,,->1890-05-01,->C.F. Newcombe,->RBCM,->V049973,->Victoria; Oak Bay,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus parviflorus,Ranunculus parviflorus,"Collected from a proposed golf course at the end of Creed Road in Saanich March 10, 2002 by A. & O. Ceska. First known from Oregon 1981 and Washington 1995. Probably introduced with grass seed. FL Strathcona Park and Roost Farm, East Saanich Road.",,->2002-03-10,->A.&O. Ceska,->BEN,->No. 292,->Collected from a proposed golf course at the end of Creed Road in Saanich.,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus repens,Ranunculus repens,Native of Europe; commonly established in most areas; a noxious garden weed.,,->1897-06-01,->J.R. Anderson,->RBCM,->V001976,->North Saanich,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus sceleratus,Ranunculus sceleratus,"Brackish, grassy places; rare; collected in Island View Beach by A. Hockly in 1968. TCB Chatham Island 1992. Miskelly Panama Flats iNaturalist report 2014.",,->1915-06-01,->G. Allen,->RBCM,->V001950,->Mandarte Island = Bare Island Indian Reserve 9,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Ranunculus uncinatus,Ranunculus uncinatus,Moist soil; common throughout.,,->1896-05-08,->J.R. Anderson,->RBCM,->V001974,->Millstream,->TL,,remaining,remaining
->,saanich,Ranunculaceae,Thalictrum occidentale,Thalictrum occidentale,Open woods and meadows; sporadic in Sidney and Goldstream. JKH Discovery island 1890.,,->1890-05-06,->J.K. Henry,->UBC,->V238253,->Discovery Island,->TL,,remaining,remaining
,saanich,Ranunculaceae,Trautvetteria caroliniensis,Trautvetteria caroliniensis,Moist woods and along streams; restricted to the Goldstream area.,,,,,,,,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
